Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
39,7,1,1,1,1,4,1,2174,0,40,9,0
50,6,1,0,8,0,4,1,0,0,13,9,0
38,4,4,2,2,1,4,1,0,0,40,9,0
53,4,3,0,2,0,2,1,0,0,40,9,0
28,4,1,0,5,5,2,0,0,0,40,6,0
37,4,5,0,8,5,4,0,0,0,40,9,0
49,4,3,2,7,1,2,0,0,0,16,5,0
52,6,4,0,8,0,4,1,0,0,45,9,1
31,4,5,1,5,1,4,0,14084,0,50,9,1
42,4,1,0,8,0,4,1,5178,0,40,9,1
37,4,4,0,8,0,2,1,0,0,80,9,1
30,7,1,0,5,0,1,1,0,0,40,1,1
23,4,1,1,1,3,4,0,0,0,30,9,0
32,4,0,1,6,1,2,1,0,0,50,9,0
40,4,0,0,2,0,1,1,0,0,40,0,1
34,4,3,0,2,0,0,1,0,0,45,5,0
25,6,4,1,2,3,4,1,0,0,35,9,0
32,4,4,1,2,4,4,1,0,0,40,9,0
38,4,3,0,6,0,4,1,0,0,50,9,0
43,6,5,2,8,4,4,0,0,0,45,9,1
40,4,2,0,5,0,4,1,0,0,60,9,1
54,4,4,2,7,4,2,0,0,0,20,9,0
35,1,3,0,2,0,2,1,0,0,40,9,0
43,4,3,0,2,0,4,1,0,2042,40,9,0
59,4,4,2,4,4,4,0,0,0,40,9,0
56,2,1,0,4,0,4,1,0,0,40,9,1
19,4,4,1,2,3,4,1,0,0,40,9,0
54,0,4,0,0,0,1,1,0,0,60,4,1
39,4,4,2,8,1,4,1,0,0,80,9,0
49,4,4,0,2,0,4,1,0,0,40,9,0
23,2,0,1,4,1,4,1,0,0,52,9,0
20,4,4,1,6,3,2,1,0,0,44,9,0
45,4,1,2,8,3,4,1,0,1408,40,9,0
30,1,4,0,1,3,4,1,0,0,40,9,0
22,7,4,0,7,0,2,1,0,0,15,9,0
48,4,3,1,2,4,4,1,0,0,40,5,0
21,4,4,1,2,3,4,1,0,0,40,9,0
19,4,4,0,1,5,4,0,0,0,25,9,0
31,4,4,0,6,0,4,1,0,0,38,0,1
48,6,0,0,5,0,4,1,0,0,40,9,0
31,4,3,0,2,0,4,1,0,0,43,9,0
53,6,1,0,5,0,4,1,0,0,40,9,0
24,4,1,0,4,0,4,1,0,0,50,9,0
49,4,4,2,1,4,4,0,0,0,40,9,0
25,4,4,1,2,1,4,1,0,0,35,9,0
57,1,1,0,5,0,2,1,0,0,40,9,1
53,4,4,0,2,0,4,1,0,0,38,9,0
44,4,5,2,8,4,4,0,0,0,40,9,0
41,7,0,0,2,0,4,1,0,0,40,9,0
29,4,0,1,5,1,4,1,0,0,43,9,0
25,4,4,0,8,5,3,0,0,0,40,9,0
18,4,4,1,7,3,4,0,0,0,30,0,0
47,4,6,0,5,5,4,0,0,1902,60,5,1
50,1,1,2,8,1,4,1,0,0,55,9,1
47,5,4,2,8,1,4,1,0,0,60,9,0
43,4,4,0,4,0,4,1,0,0,40,9,1
46,4,3,0,2,0,4,1,0,0,40,5,0
35,4,0,0,7,0,4,1,0,0,40,5,0
41,4,4,0,1,0,4,1,0,0,48,9,0
30,4,4,0,2,0,4,1,5013,0,40,9,0
30,4,1,0,6,0,4,1,2407,0,40,9,0
32,0,3,2,0,1,4,1,0,0,40,0,0
48,4,4,0,2,0,4,1,0,0,40,9,0
42,4,2,0,5,0,4,1,0,0,45,9,1
29,4,4,2,4,1,4,1,0,0,58,9,0
36,4,4,0,2,0,4,1,0,0,40,9,0
28,4,4,2,1,1,4,0,0,0,40,9,0
53,4,4,0,1,5,4,0,0,0,40,9,1
49,5,4,0,8,0,4,1,0,0,50,9,1
25,0,4,1,0,3,4,1,0,0,40,9,0
19,4,4,1,5,3,4,1,0,0,32,9,0
31,4,1,2,6,3,2,0,0,0,40,9,0
29,6,1,0,6,0,4,1,0,0,70,9,1
23,4,4,1,2,1,4,1,0,0,40,9,0
79,4,4,0,5,2,4,1,0,0,20,9,0
27,4,4,1,7,3,4,1,0,0,40,5,0
40,4,0,0,1,0,4,1,0,0,40,9,0
67,0,3,0,0,0,4,1,0,0,2,9,0
18,4,3,1,7,3,4,0,0,0,22,9,0
31,2,3,0,2,0,4,1,0,0,40,9,0
18,4,4,1,6,1,4,1,0,0,30,9,0
52,4,1,0,7,0,4,1,0,0,40,6,0
46,4,4,0,7,5,4,0,0,0,40,9,0
59,4,4,0,6,0,4,1,0,0,48,9,0
44,4,4,2,2,1,4,0,14344,0,40,9,1
53,4,4,2,6,3,4,0,0,0,35,9,0
49,2,4,0,4,0,4,1,0,0,40,9,1
33,4,5,0,5,0,4,1,0,0,50,9,0
30,4,3,1,6,1,4,1,0,0,40,9,0
43,1,2,1,5,1,4,0,0,0,50,9,1
57,4,0,0,5,0,4,1,0,0,40,9,0
37,4,4,2,2,4,4,0,0,0,40,9,0
28,4,4,2,2,4,2,0,0,0,25,9,0
30,4,4,0,6,5,1,0,0,1573,35,0,0
34,2,1,0,4,0,4,1,0,0,40,9,1
29,2,4,1,2,1,4,1,0,0,50,9,0
48,6,2,0,5,0,4,1,0,1902,60,9,1
37,4,4,0,6,0,4,1,0,0,48,9,1
48,4,0,2,8,4,4,0,0,0,40,1,0
32,1,4,1,7,3,2,1,0,0,40,9,0
76,4,5,0,8,0,4,1,0,0,40,9,1
44,4,1,0,8,0,4,1,15024,0,60,9,1
47,6,5,1,5,1,4,0,0,0,50,9,0
20,4,4,1,4,3,4,0,0,0,40,9,0
29,4,4,1,2,1,4,1,0,0,40,9,0
32,5,4,0,2,0,4,1,7688,0,40,9,1
17,0,3,1,0,3,4,0,34095,0,32,9,0
30,4,3,1,2,3,4,1,0,0,40,9,0
31,2,4,1,1,1,4,0,0,0,40,9,0
42,4,4,0,2,0,4,1,0,0,40,9,0
24,4,1,1,6,2,4,1,0,0,40,9,0
38,4,6,0,5,0,4,1,0,0,40,9,1
56,6,4,0,7,0,4,1,0,1887,50,1,1
28,4,4,0,6,5,4,0,4064,0,25,9,0
36,4,4,1,2,3,4,0,0,0,40,9,0
53,4,3,0,2,0,4,1,0,0,50,9,0
56,5,4,0,6,0,4,1,0,0,50,9,0
49,2,0,0,2,0,2,1,0,0,40,9,1
55,4,4,0,6,0,4,1,0,0,56,9,0
22,4,4,1,2,1,4,1,0,0,41,9,0
21,4,4,1,7,3,4,0,0,0,40,9,0
40,4,1,0,8,0,4,1,0,0,60,9,0
30,4,1,1,8,3,2,1,0,0,40,3,0
29,7,1,0,5,0,4,1,0,0,50,9,1
19,4,4,1,7,3,2,1,0,0,35,9,0
47,4,1,0,8,5,4,0,0,0,40,9,1
20,4,4,1,1,3,4,0,0,1719,28,9,0
31,4,0,0,1,0,4,1,0,0,40,9,1
35,0,4,0,0,0,4,1,0,0,40,9,0
39,4,4,2,2,1,4,1,0,0,40,9,0
28,4,0,1,6,1,4,0,0,0,60,9,0
24,4,4,1,7,1,4,0,0,1762,40,9,0
38,6,4,0,2,0,4,1,4386,0,35,9,0
37,4,1,0,6,0,4,1,0,0,50,9,0
46,4,0,2,4,1,2,0,0,0,36,9,0
38,1,5,0,5,0,4,1,0,0,40,6,1
43,6,4,0,2,0,4,1,0,0,60,9,0
27,4,0,0,1,5,4,0,0,0,35,9,0
20,4,4,1,6,3,4,1,0,0,20,9,0
49,4,4,0,2,0,1,1,0,0,40,9,1
61,5,4,0,2,0,4,1,0,0,40,9,0
27,4,4,1,6,3,4,0,0,0,40,9,0
19,4,4,1,7,3,4,1,0,0,30,5,0
45,4,0,1,5,1,4,0,0,1564,40,9,1
70,4,4,1,4,2,4,1,0,0,40,9,0
31,4,4,1,2,4,2,0,0,0,30,9,0
22,4,4,0,7,0,4,1,0,0,24,9,0
36,4,4,3,7,4,4,0,0,0,24,9,0
64,4,3,0,2,0,4,1,0,2179,40,9,0
43,0,4,2,0,1,4,0,0,0,40,9,0
47,2,4,2,1,4,4,0,0,0,38,5,0
34,4,4,1,1,1,4,0,0,0,40,9,0
33,4,1,1,8,2,1,0,0,0,40,7,0
21,4,4,1,2,3,4,1,0,0,35,9,0
52,0,4,2,0,1,4,1,0,0,45,9,1
48,4,4,0,2,0,4,1,0,0,46,9,0
23,4,1,1,2,1,4,1,0,0,40,9,0
71,6,4,2,6,4,2,1,0,1816,2,9,0
29,4,4,2,2,1,4,1,0,0,60,9,0
42,4,1,2,7,2,2,1,0,0,50,9,0
68,0,3,2,0,1,4,0,0,0,20,9,0
25,4,4,1,7,4,4,0,0,0,40,9,0
44,5,5,2,8,4,1,0,0,0,40,9,0
28,4,4,1,8,1,1,0,0,0,40,1,0
45,6,5,0,6,0,4,1,0,0,40,9,1
36,4,4,2,7,4,4,0,0,0,40,5,0
39,1,0,1,8,1,4,1,0,0,42,9,0
46,7,5,3,4,4,4,1,0,0,40,9,0
18,4,3,1,2,3,4,1,0,0,16,9,0
66,2,0,3,5,1,4,0,0,0,20,9,0
27,4,4,1,7,1,4,1,0,1980,40,9,0
28,7,4,0,4,0,4,1,0,0,40,9,0
51,4,4,0,6,0,4,1,0,1977,40,9,1
27,4,1,1,2,1,4,1,0,0,50,9,0
28,7,1,0,5,0,4,1,0,0,40,9,1
27,4,4,2,6,4,4,0,0,0,25,9,0
21,4,4,1,2,3,2,1,0,0,40,9,0
34,4,4,1,2,1,2,1,0,0,40,9,0
18,4,4,1,7,3,4,1,0,0,12,9,0
33,4,1,0,5,0,4,1,0,0,65,9,0
44,2,4,0,8,0,2,1,0,0,38,9,1
43,4,4,2,1,1,4,0,0,0,40,9,0
30,4,4,1,2,1,2,1,0,0,45,9,0
40,4,3,0,2,0,4,1,0,0,40,5,1
37,1,4,0,1,0,4,1,0,0,42,9,1
34,4,4,0,1,0,2,1,0,0,40,9,0
41,6,1,2,8,1,4,0,0,0,40,9,0
53,0,1,2,0,1,4,0,0,0,50,9,0
31,4,5,0,5,5,4,0,0,0,50,9,0
58,7,2,0,5,0,4,1,0,0,1,9,1
38,4,4,2,2,1,2,0,0,0,28,9,0
24,4,4,0,2,0,4,1,0,0,40,9,0
41,2,1,0,2,0,2,1,0,0,40,9,0
47,4,4,0,4,0,4,1,0,0,45,9,0
41,1,1,0,4,0,4,1,0,0,24,9,0
23,4,3,0,2,2,4,1,0,0,40,5,0
36,4,4,2,2,1,4,1,0,0,40,9,0
40,1,5,1,8,1,4,0,14084,0,55,9,1
35,4,5,0,5,2,4,1,7298,0,40,9,1
24,6,4,1,6,1,4,1,0,0,40,9,0
26,4,5,1,5,1,4,0,0,1876,40,9,0
19,0,4,1,0,3,4,1,0,0,40,3,0
51,4,1,0,8,0,4,1,0,0,50,9,1
42,2,4,1,5,1,4,0,0,1340,40,9,0
37,7,4,2,1,4,4,0,0,0,35,9,0
18,4,3,1,6,3,4,0,0,0,40,9,0
36,4,1,0,7,0,2,1,7298,0,36,9,1
35,4,4,2,2,1,4,1,0,0,60,9,0
58,5,4,0,6,5,4,0,15024,0,35,9,1
17,4,3,1,6,3,4,0,0,0,12,9,0
44,2,4,0,2,0,2,1,0,0,40,9,0
37,4,4,0,2,0,4,1,0,0,40,9,1
35,4,4,1,6,1,0,0,0,0,40,9,0
60,4,4,0,2,0,1,1,0,0,40,9,0
54,5,3,0,2,0,4,1,0,0,40,9,1
37,4,1,1,8,1,2,1,0,0,60,9,1
50,4,0,2,6,1,4,0,0,0,40,9,0
38,4,1,0,6,0,4,1,0,0,50,4,0
45,4,1,0,5,0,4,1,0,0,55,9,0
25,4,3,1,2,1,4,1,0,0,40,9,0
31,4,4,0,2,0,4,1,0,0,40,9,0
64,0,3,2,0,1,4,1,0,0,40,9,0
90,4,4,1,7,1,2,1,0,2206,40,9,0
54,4,4,0,1,0,2,1,0,0,20,9,0
53,2,3,1,2,1,4,0,0,0,35,9,0
18,4,4,1,6,3,4,0,0,0,40,9,0
60,0,3,2,0,1,0,0,0,0,10,9,0
66,6,4,0,2,0,4,1,1409,0,50,9,0
75,4,0,3,1,1,4,0,0,0,20,8,0
65,4,4,2,1,1,4,0,0,0,40,9,0
35,4,3,2,2,1,2,1,3674,0,40,9,0
41,4,4,2,6,4,2,0,0,0,38,9,0
25,4,4,1,1,1,4,1,0,0,42,9,0
33,4,4,2,2,2,3,0,0,0,40,9,0
