age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
41,Self-Employed,Bachelors,Married,White-Collar,White,Male,72,0
39,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
39,Private,Some-college,Married,White-Collar,White,Female,35,1
58,Private,Some-college,Divorced,White-Collar,White,Female,40,0
55,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,30,0
59,Private,Bachelors,Married,White-Collar,White,Female,30,0
51,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
41,Private,Prof-school,Married,White-Collar,White,Male,50,1
36,Private,Some-college,Widowed,Sales,White,Female,20,0
55,Self-Employed,School,Single,Service,White,Female,60,0
65,Private,Some-college,Widowed,White-Collar,White,Female,40,0
39,Private,Bachelors,Single,White-Collar,White,Female,40,0
39,Private,HS-grad,Separated,Blue-Collar,White,Female,24,0
43,Private,Bachelors,Married,Professional,White,Male,40,1
29,Private,HS-grad,Married,Service,White,Female,40,1
31,Private,Prof-school,Married,Professional,White,Male,25,1
36,Private,Some-college,Married,Sales,White,Male,40,0
44,Private,Prof-school,Married,Professional,White,Male,29,1
34,Private,Bachelors,Married,Professional,White,Male,42,1
47,Self-Employed,Bachelors,Married,Professional,Other,Male,40,0
42,Private,Assoc,Single,Service,White,Male,40,0
64,Private,HS-grad,Divorced,Blue-Collar,White,Male,20,0
28,Private,Some-college,Married,White-Collar,White,Male,40,1
49,Private,Bachelors,Widowed,Professional,White,Female,35,0
31,Private,Assoc,Married,Blue-Collar,Other,Male,50,1
40,Self-Employed,Some-college,Married,Professional,White,Female,40,1
26,Private,Bachelors,Married,Professional,White,Female,45,1
46,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,15,0
56,Private,HS-grad,Married,Blue-Collar,White,Male,18,0
63,Private,School,Married,Service,White,Male,30,0
62,Other/Unknown,Some-college,Married,Other/Unknown,White,Male,24,0
59,Government,Some-college,Widowed,Service,White,Female,40,0
52,Private,HS-grad,Widowed,Blue-Collar,White,Male,40,0
36,Private,Bachelors,Divorced,Professional,White,Male,45,0
38,Private,Some-college,Divorced,White-Collar,White,Male,50,0
45,Private,School,Widowed,White-Collar,White,Female,40,0
67,Private,School,Married,Blue-Collar,Other,Male,20,0
38,Private,HS-grad,Married,Blue-Collar,White,Male,99,0
78,Other/Unknown,Masters,Widowed,Other/Unknown,White,Female,15,0
44,Government,Bachelors,Married,Professional,Other,Male,38,1
66,Private,HS-grad,Single,Service,Other,Female,3,0
55,Government,Bachelors,Married,Professional,White,Female,60,0
29,Private,Bachelors,Married,Professional,White,Male,40,1
42,Private,School,Married,Blue-Collar,White,Male,40,0
38,Private,Some-college,Married,Blue-Collar,White,Male,40,0
58,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
35,Government,Bachelors,Married,Blue-Collar,White,Male,40,1
56,Government,HS-grad,Married,Blue-Collar,White,Male,40,0
61,Private,Bachelors,Married,White-Collar,White,Male,40,0
30,Private,Bachelors,Married,Sales,White,Male,50,1
41,Self-Employed,Some-college,Divorced,Blue-Collar,White,Male,50,0
36,Government,Assoc,Single,Professional,White,Female,40,0
39,Private,Bachelors,Single,White-Collar,Other,Male,45,0
43,Private,HS-grad,Divorced,White-Collar,White,Female,30,1
41,Government,Assoc,Married,Professional,White,Male,40,1
50,Private,HS-grad,Separated,Service,Other,Female,40,0
64,Private,Bachelors,Married,Sales,White,Male,40,0
61,Private,School,Married,Professional,White,Male,40,0
41,Private,HS-grad,Divorced,Blue-Collar,White,Male,48,0
30,Private,Masters,Married,White-Collar,White,Male,50,1
44,Private,Masters,Married,White-Collar,White,Male,40,1
40,Private,HS-grad,Divorced,Sales,White,Female,30,0
39,Private,School,Widowed,Blue-Collar,Other,Male,40,0
37,Private,Some-college,Single,Service,White,Female,40,0
39,Private,School,Divorced,Sales,White,Female,40,0
32,Private,Bachelors,Married,White-Collar,White,Male,45,1
46,Private,Some-college,Divorced,Service,White,Female,30,0
42,Private,HS-grad,Single,White-Collar,Other,Female,25,0
36,Private,Masters,Single,White-Collar,White,Male,15,0
40,Private,Assoc,Separated,Professional,White,Female,40,0
39,Private,HS-grad,Married,Sales,White,Female,36,0
37,Government,Assoc,Married,Professional,Other,Female,40,1
44,Private,Assoc,Separated,White-Collar,White,Male,40,0
38,Private,Some-college,Married,White-Collar,White,Male,50,1
54,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
37,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
47,Private,HS-grad,Divorced,Sales,White,Female,40,0
50,Private,Some-college,Married,Blue-Collar,White,Male,50,0
39,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,50,0
35,Private,Assoc,Married,Sales,White,Male,50,1
32,Government,HS-grad,Married,White-Collar,White,Female,40,1
51,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
32,Private,Bachelors,Married,White-Collar,White,Male,55,1
49,Private,Masters,Married,Service,Other,Male,40,0
34,Private,Prof-school,Single,Service,Other,Male,40,1
47,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
28,Private,Bachelors,Married,White-Collar,White,Male,40,1
36,Private,School,Divorced,Sales,White,Female,40,0
50,Private,Masters,Married,White-Collar,White,Female,40,0
42,Self-Employed,Prof-school,Married,Professional,White,Male,60,1
