age_cat,race,sex,c_charge_degree,is_recid,priors_count,time_served,two_year_recid
Greater than 45,Other,Male,F,0,0,0,0
25 - 45,African-American,Male,F,1,0,10,1
Less than 25,African-American,Male,F,1,4,1,1
25 - 45,Other,Male,M,0,0,1,0
25 - 45,Caucasian,Male,F,1,14,6,1
25 - 45,Other,Male,F,0,3,0,0
25 - 45,Caucasian,Female,M,0,0,2,0
25 - 45,Caucasian,Male,F,0,0,1,0
Less than 25,African-American,Male,M,1,3,4,1
25 - 45,Caucasian,Female,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,0,0
Greater than 45,Caucasian,Female,F,1,1,14,1
25 - 45,African-American,Male,F,1,7,3,1
25 - 45,Hispanic,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,3,1,0
25 - 45,Caucasian,Male,F,1,6,1,1
25 - 45,Caucasian,Male,F,1,5,1,1
Greater than 45,African-American,Male,F,1,13,1,1
Less than 25,African-American,Male,F,1,1,3,1
25 - 45,Caucasian,Male,M,1,0,0,1
Less than 25,Caucasian,Female,F,0,0,1,0
Less than 25,Hispanic,Male,F,1,1,0,1
25 - 45,Caucasian,Male,M,0,1,1,0
25 - 45,Other,Male,M,0,0,1,0
25 - 45,African-American,Male,F,1,8,17,1
25 - 45,African-American,Male,F,1,5,0,1
25 - 45,African-American,Male,F,1,0,37,1
25 - 45,Caucasian,Male,F,1,9,44,1
25 - 45,African-American,Male,F,1,4,1,1
Greater than 45,Caucasian,Male,F,0,0,2,0
Greater than 45,Other,Male,F,1,7,3,1
25 - 45,Caucasian,Female,M,1,4,11,1
Less than 25,Caucasian,Male,M,1,1,1,1
25 - 45,African-American,Male,F,1,21,33,1
25 - 45,Caucasian,Male,M,0,0,0,0
Less than 25,African-American,Female,F,0,2,79,0
Greater than 45,African-American,Male,M,0,2,1,0
25 - 45,Caucasian,Male,M,1,2,0,1
Greater than 45,African-American,Female,F,0,7,1,0
25 - 45,African-American,Male,F,1,0,0,1
25 - 45,Caucasian,Male,M,1,9,6,1
25 - 45,African-American,Male,F,1,13,0,1
Greater than 45,Caucasian,Male,M,0,0,0,0
25 - 45,African-American,Male,F,0,0,0,0
25 - 45,Caucasian,Male,F,1,1,0,1
25 - 45,Other,Female,F,0,0,0,0
25 - 45,African-American,Male,F,1,15,135,0
Less than 25,African-American,Male,F,1,2,1,1
25 - 45,Hispanic,Male,M,0,0,23,0
Greater than 45,African-American,Male,M,0,4,0,0
Greater than 45,Caucasian,Male,F,0,8,13,0
25 - 45,African-American,Male,F,0,5,0,0
25 - 45,African-American,Male,F,1,15,1,1
25 - 45,Caucasian,Male,M,1,4,1,1
Less than 25,African-American,Male,F,1,1,1,1
25 - 45,African-American,Male,F,1,4,18,1
Greater than 45,Hispanic,Male,M,0,0,0,0
25 - 45,African-American,Male,F,1,6,30,1
25 - 45,Other,Male,M,0,0,1,0
Greater than 45,African-American,Female,M,0,0,3,0
Greater than 45,Hispanic,Male,F,1,6,241,1
Less than 25,Hispanic,Male,F,0,1,1,0
25 - 45,African-American,Male,M,0,1,4,0
25 - 45,African-American,Male,F,1,5,1,1
25 - 45,Caucasian,Male,F,1,1,14,1
25 - 45,African-American,Male,F,0,2,3,0
Less than 25,African-American,Male,M,1,1,16,1
Less than 25,Caucasian,Male,F,0,0,57,0
25 - 45,African-American,Female,F,1,1,2,1
25 - 45,African-American,Male,F,0,0,1,0
25 - 45,African-American,Male,M,0,1,1,0
25 - 45,African-American,Male,M,1,8,1,1
Greater than 45,Other,Male,F,1,0,0,1
25 - 45,African-American,Male,F,1,14,7,1
Less than 25,Other,Male,F,1,0,1,1
Less than 25,African-American,Male,F,1,2,30,1
25 - 45,African-American,Female,M,0,1,0,0
25 - 45,African-American,Male,F,1,9,3,1
25 - 45,Caucasian,Male,F,1,7,0,1
Less than 25,Other,Male,F,1,1,3,1
25 - 45,Caucasian,Male,F,1,9,0,1
Less than 25,Caucasian,Female,F,0,0,0,0
25 - 45,Caucasian,Male,F,1,2,0,1
Greater than 45,Caucasian,Female,M,0,0,0,0
25 - 45,Hispanic,Female,M,0,0,1,0
Less than 25,African-American,Male,M,1,1,9,1
