f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,target
0.796116531,0.314039409,0.025510205,0.224489793,0.397727281,0.321428567,0.321428567,1,0.0217391308,0.336283177,0.535714269,0.32110092,0.272727281,0.13333334,0.13333334,0.244813278,0.00208333344,0.317073166,0.34375,0.481481493,0.541284382,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.640776694,0.532019675,0.0535714291,0.525510192,0.193181813,0.357142866,0.357142866,0.899082541,0.119565219,0.159292042,0.321428567,0.284403682,0.272727281,0.119999997,0.119999997,0.336099595,0.00208333344,0.317073166,0.03125,0.370370358,0.816513777,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.572815537,0.0775862038,0.0280612241,0.096938774,0.25,0.357142866,0.357142866,0.880733967,0.108695649,0.21238938,0.428571433,0.633027494,0.272727281,0.13333334,0.13333334,0.448132783,0.160416663,0.317073166,0.34375,0.370370358,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.922330081,0.201970443,0.198979586,0.346938789,0.204545453,0.321428567,0.321428567,1,0.0217391308,0.159292042,0.321428567,0.486238539,0.0303030312,0.119999997,0.119999997,0.0871369317,0.00208333344,0.268292695,0.03125,0.333333343,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.951456308,0.369458139,0.18622449,0.415816337,0.465909094,0.321428567,0.321428567,1,0.0217391308,0.389380544,0.321428567,0.293577969,0.303030312,0.173333332,0.159999996,0.0414937772,0.00208333344,0.268292695,0.34375,0.333333343,0.605504572,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.766990304,0.343596071,0.0306122452,0.206632659,0.409090906,0.321428567,0.321428567,1,0.0217391308,0.495575219,0.392857134,0.348623842,0.363636374,0.13333334,0.13333334,0.40663901,0.0874999985,0.390243888,0.34375,0.555555582,0.770642221,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.815533996,0.485221684,0.0357142873,0.227040812,0.693181813,0.357142866,0.321428567,0.981651366,0.347826093,0.575221241,0.392857134,0.458715588,0.424242437,0.13333334,0.13333334,0.0995850638,0.158333331,0.439024389,0.375,0.333333343,0.577981651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0.660194159,0.325123161,0.122448981,0.306122452,0.227272734,0.357142866,0.321428567,0.770642221,0.130434781,0.185840711,0.321428567,0.541284382,0.454545468,0.119999997,0.119999997,0.414937764,0.191666663,0.341463417,0.3125,0.407407403,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.766990304,0.299261093,0.048469387,0.260204077,0.409090906,0.321428567,0.321428567,0.899082541,0.228260875,0.318584085,0.357142866,0.486238539,0.272727281,0.146666661,0.146666661,0.248962656,0.22708334,0.341463417,0.34375,0.407407403,0.724770665,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0.689320385,0.0628078803,0.0280612241,0.0816326514,0.23863636,0.321428567,0.321428567,0.87155962,0.228260875,0.203539819,0.428571433,0.275229365,0.0606060624,0.159999996,0.159999996,0.215767637,0.1875,0.390243888,0.34375,0.333333343,0.908256888,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
