f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,target
0.79611653,0.3140394,0.025510205,0.2244898,0.39772728,0.32142857,0.32142857,1.0,0.02173913,0.33628318,0.53571427,0.32110092,0.27272728,0.13333334,0.13333334,0.24481328,0.0020833334,0.31707317,0.34375,0.4814815,0.5412844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.6407767,0.5320197,0.05357143,0.5255102,0.19318181,0.35714287,0.35714287,0.89908254,0.11956522,0.15929204,0.32142857,0.28440368,0.27272728,0.12,0.12,0.3360996,0.0020833334,0.31707317,0.03125,0.37037036,0.8165138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.57281554,0.077586204,0.028061224,0.096938774,0.25,0.35714287,0.35714287,0.88073397,0.10869565,0.21238938,0.42857143,0.6330275,0.27272728,0.13333334,0.13333334,0.44813278,0.16041666,0.31707317,0.34375,0.37037036,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.9223301,0.20197044,0.19897959,0.3469388,0.20454545,0.32142857,0.32142857,1.0,0.02173913,0.15929204,0.32142857,0.48623854,0.030303031,0.12,0.12,0.08713693,0.0020833334,0.2682927,0.03125,0.33333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.9514563,0.36945814,0.18622449,0.41581634,0.4659091,0.32142857,0.32142857,1.0,0.02173913,0.38938054,0.32142857,0.29357797,0.3030303,0.17333333,0.16,0.041493777,0.0020833334,0.2682927,0.34375,0.33333334,0.6055046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.7669903,0.34359607,0.030612245,0.20663266,0.4090909,0.32142857,0.32142857,1.0,0.02173913,0.49557522,0.39285713,0.34862384,0.36363637,0.13333334,0.13333334,0.406639,0.0875,0.3902439,0.34375,0.5555556,0.7706422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.815534,0.48522168,0.035714287,0.22704081,0.6931818,0.35714287,0.32142857,0.98165137,0.3478261,0.57522124,0.39285713,0.4587156,0.42424244,0.13333334,0.13333334,0.099585064,0.15833333,0.4390244,0.375,0.33333334,0.57798165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
0.66019416,0.32512316,0.12244898,0.30612245,0.22727273,0.35714287,0.32142857,0.7706422,0.13043478,0.18584071,0.32142857,0.5412844,0.45454547,0.12,0.12,0.41493776,0.19166666,0.34146342,0.3125,0.4074074,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.7669903,0.2992611,0.048469387,0.26020408,0.4090909,0.32142857,0.32142857,0.89908254,0.22826087,0.31858408,0.35714287,0.48623854,0.27272728,0.14666666,0.14666666,0.24896266,0.22708334,0.34146342,0.34375,0.4074074,0.72477067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.6893204,0.06280788,0.028061224,0.08163265,0.23863636,0.32142857,0.32142857,0.8715596,0.22826087,0.20353982,0.42857143,0.27522936,0.060606062,0.16,0.16,0.21576764,0.1875,0.3902439,0.34375,0.33333334,0.9082569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.8446602,0.41133004,0.030612245,0.25510204,0.52272725,0.32142857,0.32142857,1.0,0.02173913,0.4159292,0.42857143,0.2293578,0.27272728,0.13333334,0.13333334,0.24896266,0.16875,0.34146342,0.375,0.4074074,0.7155963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.8543689,0.19334975,0.030612245,0.1734694,0.5,0.32142857,0.32142857,1.0,0.02173913,0.38938054,0.35714287,0.57798165,0.27272728,0.12,0.12,0.0373444,0.0020833334,0.24390244,0.3125,0.33333334,0.28440368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.8640777,0.073891625,0.09948979,0.12755102,0.20454545,0.32142857,0.32142857,1.0,0.02173913,0.15929204,0.32142857,0.3853211,0.5151515,0.12,0.12,0.112033196,0.0020833334,0.2682927,0.3125,0.37037036,0.6330275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.8543689,0.22906403,0.035714287,0.18622449,0.3409091,0.32142857,0.32142857,0.96330273,0.20652173,0.28318584,0.35714287,0.79816514,0.27272728,0.12,0.12,0.0373444,0.0020833334,0.2195122,0.3125,0.037037037,0.5412844,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.6699029,0.18842365,0.045918368,0.14540817,0.42045453,0.35714287,0.35714287,0.9724771,0.33695653,0.34513274,0.39285713,0.3853211,0.060606062,0.12,0.12,0.36514524,0.14166667,0.34146342,0.40625,0.4814815,0.66972476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.66019416,0.17857143,0.06122449,0.16581632,0.54545456,0.35714287,0.35714287,1.0,0.02173913,0.45132744,0.32142857,0.19266056,0.27272728,0.12,0.12,0.23651452,0.0020833334,0.6097561,0.3125,0.7037037,0.6238532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
0.89320385,0.0012315271,0.033163264,0.2117347,0.23863636,0.32142857,0.32142857,1.0,0.02173913,0.22123894,0.42857143,0.36697248,0.060606062,0.13333334,0.13333334,0.16182573,0.0020833334,0.2682927,0.3125,0.33333334,0.6330275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
0.65048546,0.17364532,0.030612245,0.20663266,0.3068182,0.35714287,0.32142857,0.9266055,0.10869565,0.30973452,0.42857143,0.5045872,0.27272728,0.17333333,0.17333333,0.2614108,0.09791667,0.2682927,0.375,0.037037037,0.6605505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.88349515,0.30418718,0.038265307,0.26530612,0.6931818,0.32142857,0.32142857,0.94495416,0.23913044,0.54867256,0.39285713,0.5321101,0.27272728,0.12,0.12,0.0373444,0.1625,0.2682927,0.375,0.33333334,0.43119267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.94174755,0.21182266,0.05102041,0.24489796,0.20454545,0.32142857,0.32142857,0.9082569,0.010869565,0.16814159,0.35714287,0.26605505,0.27272728,0.12,0.12,0.045643155,0.0020833334,0.2682927,0.03125,0.33333334,0.44954127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.65048546,0.16256158,0.030612245,0.15306123,0.35227272,0.35714287,0.32142857,0.8440367,0.11956522,0.28318584,0.4642857,0.20183486,0.060606062,0.17333333,0.16,0.24896266,0.08541667,0.4390244,0.34375,0.37037036,0.6788991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.6407767,0.16133004,0.048469387,0.29336736,0.23863636,0.32142857,0.32142857,0.5412844,0.18478261,0.17699115,0.39285713,0.4678899,0.27272728,0.17333333,0.17333333,0.32780084,0.20208333,0.34146342,0.3125,0.4074074,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.74757284,0.17610838,0.030612245,0.1377551,0.42045453,0.35714287,0.32142857,0.94495416,0.6413044,0.3539823,0.5714286,0.49541286,0.27272728,0.16,0.16,0.13278009,0.21458334,0.31707317,0.375,0.37037036,0.6146789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.69902915,0.08866995,0.028061224,0.091836736,0.13636364,0.32142857,0.32142857,0.7706422,0.32608697,0.11504425,0.35714287,0.5412844,0.27272728,0.13333334,0.13333334,0.12448133,0.0020833334,0.2682927,0.3125,0.37037036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.74757284,0.28325123,0.040816326,0.25,0.3181818,0.4642857,0.32142857,0.8440367,0.67391306,0.28318584,0.35714287,0.44036698,0.27272728,0.12,0.12,0.32780084,0.22708334,0.2682927,0.34375,0.4074074,0.44954127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.6699029,0.116995074,0.038265307,0.14030612,0.2840909,0.32142857,0.32142857,0.94495416,0.5652174,0.22123894,0.4642857,0.6605505,0.27272728,0.13333334,0.13333334,0.3526971,0.21041666,0.31707317,0.4375,0.37037036,0.9082569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.8640777,0.22290641,0.028061224,0.10459184,0.53409094,0.32142857,0.32142857,1.0,0.02173913,0.42477876,0.8214286,0.3853211,0.27272728,0.50666666,0.50666666,0.062240664,0.20208333,0.34146342,0.40625,0.33333334,0.43119267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.776699,0.25,0.030612245,0.31632653,0.26136363,0.39285713,0.35714287,0.94495416,0.14130434,0.22123894,0.35714287,0.36697248,0.060606062,0.16,0.16,0.07883818,0.0020833334,0.24390244,0.03125,0.33333334,0.5412844,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.7184466,0.057881773,0.05867347,0.094387755,0.1590909,0.39285713,0.39285713,1.0,0.02173913,0.123893805,0.32142857,0.44954127,0.27272728,0.14666666,0.14666666,0.44813278,0.10208333,0.24390244,0.34375,0.37037036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
