f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,target
0.184640929,0.264432549,0.331370473,0.391538531,0.428637236,0.390528589,0.387086928,0.201624155,0.102188833,0.00728285545,0.0425464883,0.0250784587,0.00416368619,-0.0172054302,-0.0632246733,0.0182812661,0.0899303332,0.239072323,0.138307184,0.101320952,0.0943070725,0.216845766,0.246522665,0.23422341,0.134285584,0.0931297913,0.164427713,0.284434646,0.383293509,0.44394049,0.418900162,0.472513556,0.488255918,0.561678767,0.671308517,0.643713593,0.67019248,0.621508777,0.661386788,0.649303436,0.613929451,0.555370569,0.436220646,0.306836158,0.210650787,0.116439119,-0.00776469987,-0.0367242619,0.00528470008,0.060637787,-0.0563284419,-0.168391541,-0.347142071,-0.479503721,-0.420517176,-0.341725022,-0.225981042,-0.211950988,-0.0943765789,0.000170219908,0.04369203,0.0356191136,-0.10097079,-0.0854619965,-0.0674989,0.111062489,0.189354166,0.171256319,0.12348368,0.127874196,0.108348988,0.166650444,0.297774196,0.374233216,0.495969117,0.514472902,0.539779186,0.50323683,0.488670945,0.447844207,0.422863334,0.358490497,0.362577111,0.447894573,0.399448991,0.350851923,0.199239418,-0.0682229698,-0.243745521,-0.308199972,-0.247371867,-0.124021098,-0.123877786,-0.103662193,-0.0165587775,-0.0031658262,0.129412204,0.150297269,0.147692472,0.153921843,0.186076686,0.277493477,0.369021177,0.506311893,0.572569132,0.556316674,0.487688422,0.506696224,0.472180277,0.379720628,0.388980538,0.326539159,0.30795005,0.197520435,0.0815220028,0.040333651,0.0520522743,0.163189158,0.191668287,0.0751235485,-0.0412661172,-0.0566667728,0.0275117159,0.140619919,0.137799621,0.107803673,0.0299699679,-0.0169887189,0.0325295031,0.0102929454,0.0405406058,0.0720942765,0.178497657,0.270968169,0.37745133,0.520053446,0.581204057,0.636664987,0.608744681,0.522030115,0.51190567,0.470710665,0.586432695,0.515766084,0.502621233,0.412613869,0.310012758,0.237547472,0.210785553,0.166397989,0.165751845,0.0869694725,0.154788479,0.249450356,0.198142722,0.160462514,0.0616168603,-0.0138338255,-0.00213312823,-0.00720666396,-0.0430232063,-0.129826069,-0.235227495,-0.240809709,-0.255749524,-0.192570046,-0.253188252,-0.141943023,-0.136176065,-0.0112616364,0.142223164,0.177649111,0.223479211,0.229367003,0.255995989,0.360384494,0.499894679,0.55926311,0
-0.419127971,-0.379914373,-0.18231459,0.248919711,0.664664984,0.706653297,0.665780187,0.51003933,0.133046672,-0.217105195,-0.281499565,-0.260314763,-0.250272095,-0.129499659,0.042259343,-0.129708707,-0.250192732,-0.199029833,-0.156947821,-0.0649967417,0.186431468,0.570699096,0.704784155,0.716124713,0.802105129,0.738195062,0.434528261,0.163075298,-0.0762216896,-0.316904068,-0.292035908,0.0930953026,0.598306358,0.795455694,0.882733166,0.581385434,0.0869479999,-0.280827403,-0.342732102,-0.298949778,-0.254568666,0.0428599715,0.150489852,0.0321161784,0.155771717,0.444319099,0.453597605,0.196532577,0.0466316119,-0.113792092,-0.313989013,-0.341062337,-0.249337003,-0.237777576,-0.294031113,-0.170929074,-0.12663044,-0.155847892,-0.118886515,0.042074509,0.0555543527,0.0476480052,0.152393878,0.0765271336,-0.129374653,-0.208520263,-0.094756566,-0.0343513861,0.0117523046,0.207558706,0.314219534,0.118450291,-0.0429903008,-0.114498168,-0.303556889,-0.321346819,-0.0646620765,0.249156788,0.415748864,0.610764563,0.754749596,0.557258725,0.350661278,0.269158006,0.204624087,0.107069999,0.162435874,0.280159831,0.229481891,0.154236704,0.120418198,0.00474266522,-0.123877786,-0.0722922236,-0.0103783244,-0.0213390384,0.0819273591,0.26293993,0.319877565,0.194937646,0.226670548,0.236622304,0.0323764421,-0.0829725042,-0.100370392,-0.226167873,-0.42112717,-0.365126431,-0.287873745,-0.290048361,-0.13899295,0.211550206,0.369905442,0.271381468,0.35374248,0.289531916,0.0146696856,-0.120424107,-0.0855385885,-0.110152014,-0.164737836,0.122441947,0.390338242,0.37392956,0.305534124,0.272420585,0.0975240171,-0.0845398828,-0.073066473,-0.103413947,-0.213889077,-0.148475543,0.209711894,0.468495399,0.596615374,0.574210703,0.216272861,-0.390725881,-0.801798999,-0.705964684,-0.602745056,-0.400185227,-0.0825657323,0.146548733,0.199544102,0.400695503,0.633871138,0.472943038,0.133002222,-0.0239011589,-0.156713471,-0.276531607,-0.143539369,0.062957637,0.0910913795,0.082649447,0.187783495,0.117467113,-0.0906713009,-0.212317839,-0.230357289,-0.367715448,-0.451031566,-0.408474416,-0.470345825,-0.599782944,-0.420790195,-0.219971269,-0.148279995,-0.053775318,0.0399058461,-0.029999407,-0.215542763,-0.213065132,-0.164118305,-0.23508808,-0.236815482,-0.0109452577,0
-0.280261129,-0.277541518,-0.286274672,-0.309153914,-0.322924882,-0.378088415,-0.368481517,-0.378196418,-0.379193515,-0.379163235,-0.399901003,-0.409215599,-0.413837969,-0.4013699,-0.385536939,-0.342814296,-0.292708099,-0.229882091,-0.230761573,-0.163555384,-0.126791477,-0.0637965202,-0.0549651645,0.0173678268,0.0310771018,0.0501254424,0.0784866288,0.132735461,0.129350901,0.133515909,0.17374979,0.14817214,0.115307309,0.0756688341,0.0494712107,0.00796608441,0.0194144323,0.0259668808,0.0300545525,0.00497753639,-0.0126299048,-0.0267402343,-0.0399973392,-0.0677819997,-0.0576468818,-0.0683659539,-0.124565281,-0.135858417,-0.154196233,-0.17995514,-0.172889173,-0.131390661,-0.102629408,-0.0806555972,-0.0952673107,-0.12213023,-0.139049262,-0.149614215,-0.118886515,-0.089624688,-0.0808623657,-0.054597564,-0.0453541577,-0.0356191881,-0.042748604,-0.0364372432,-0.0576986484,-0.0592735298,-0.0565279759,-0.080531463,-0.0914665535,-0.11050041,-0.0795007795,-0.0959387496,-0.0742354617,-0.0590092428,-0.0827953145,-0.10776519,-0.179781467,-0.215905413,-0.187570378,-0.196891397,-0.227256745,-0.254725069,-0.279295862,-0.274229944,-0.260804802,-0.269918293,-0.274474561,-0.258873403,-0.222852528,-0.19146879,-0.17371057,-0.197772086,-0.208152816,-0.221244365,-0.20298171,-0.193559274,-0.226364791,-0.197642133,-0.196665376,-0.172089502,-0.127086848,-0.10101182,-0.0703284517,-0.0455945134,-0.0429622903,-0.0420033485,-0.0707154498,-0.0529620014,-0.0440763719,-0.0426359065,-0.094759956,-0.110233828,-0.148353055,-0.17847459,-0.190934554,-0.208659351,-0.217841864,-0.237928256,-0.190731883,-0.203791797,-0.218472376,-0.23028262,-0.239603013,-0.221430168,-0.258670062,-0.26262933,-0.302893013,-0.324510694,-0.36018616,-0.318629414,-0.314687252,-0.303095311,-0.28612873,-0.214078084,-0.13071093,-0.0562265366,0.0433368906,0.0474427417,0.0850181505,0.106843211,0.108576685,0.122728258,0.128231853,0.14445062,0.118096702,0.104760215,0.0851355568,0.0831421092,0.0343770869,0.0142692607,0.0269336831,0.00881459285,0.0197238214,-0.00713485945,-0.040518038,-0.0854525194,-0.102476388,-0.0658098534,-0.0957109183,-0.0881954208,-0.10334722,-0.0432048999,-0.047114253,-0.048847843,-0.0436858125,-0.00989523344,0.0211750381,0.0616189577,0.094073832,0.0886568874,0.12262281,0.127727196,0.0916034505,0.071856536,0.039450828,0.0193849746,0
-0.527806401,-0.379914373,-0.396350026,-0.606793165,-1.14281082,-1.72936666,-2.24501634,-2.4569149,-2.46518373,-2.5794127,-2.80531979,-2.91571259,-2.56442618,-1.91438699,-1.20010793,-0.478965074,-0.0133213103,0.15268597,-0.0339249074,-0.490030855,-0.820795238,-0.850815117,-0.45292908,0.643839538,1.83418989,2.71639514,2.93909717,2.08662105,0.800484955,-0.377771616,-0.843624234,-0.457673162,0.21924381,0.78930366,1.17499673,1.32932365,1.38850403,1.42759573,1.43702352,1.22068679,0.787629068,0.422497451,0.252083033,0.175719813,0.119185671,-0.312785566,-1.05896997,-1.83280194,-2.45780969,-2.20695066,-1.51027024,-0.267060578,0.91209811,1.68394506,1.95260227,1.98231971,2.09633923,2.51839948,3.03676796,3.41836286,3.53714609,3.46986723,3.32254195,3.06709576,2.52509475,1.88720512,1.09727323,0.133873105,-0.788989186,-1.34935415,-1.33274496,-0.905802846,-0.292478591,-0.0897522792,-0.328348368,-0.943635941,-1.78731966,-2.49732757,-2.78066897,-2.37610865,-1.60994017,-0.781503916,-0.33449927,-0.550564945,-1.14029622,-1.76192474,-2.27273154,-2.46411872,-2.72050714,-2.71287084,-2.25795746,-1.38713229,-0.148794174,0.975464642,1.72632897,1.85050178,1.55395746,1.20558119,1.15705335,1.4488492,2.00700116,2.7589581,3.50513268,4.04201841,4.14155197,3.90896201,3.63499618,3.25019407,2.89108229,2.46015358,2.04408836,1.5732615,1.01424146,0.456034005,0.0512752868,-0.300034732,-0.676908195,-1.12882686,-1.66057765,-1.90540826,-1.93233311,-1.46394956,-0.821133375,-0.254211813,0.299543619,0.644332886,0.662521541,0.36989525,-0.0917010531,-0.368730038,-0.124838687,0.639273822,1.68302381,2.61043119,3.22658396,3.43250966,3.09982777,2.30916166,1.22771752,0.468639016,0.405183762,0.792822838,1.30918992,1.58173227,1.26922798,0.507960796,-0.313714445,-1.02996719,-1.41069782,-1.59981596,-1.82875586,-1.88199461,-1.70823848,-1.38687277,-1.08647335,-1.07856083,-1.18803358,-1.38652539,-1.2593751,-0.909695804,-0.640150607,-0.724549532,-1.24830782,-1.80967212,-2.15135002,-2.28253031,-2.33025527,-2.18868375,-1.89124608,-1.25023174,-0.736501992,-0.249513552,0.34213379,0.910951674,1.16928792,1.14002383,1.24274409,1.97265196,1
-0.521768689,-0.494331121,-0.414695948,-0.364961296,-0.298079848,-0.378088415,-0.510924757,-0.594087064,-0.687771976,-0.709512293,-0.630472243,-0.601545811,-0.565287828,-0.537305057,-0.502741396,-0.544080675,-0.541726768,-0.569257021,-0.427598238,-0.366832554,-0.0838000849,0.0765246302,0.192254856,0.173985749,0.146427751,0.222142845,0.262646109,0.345114321,0.407478541,0.383072913,0.351483792,0.32564199,0.329294205,0.334053844,0.37904498,0.338305473,0.222015142,0.092138201,0.0601179935,0.102234282,0.136255488,0.207369551,0.144140273,0.100796178,0.0277205575,0.080670394,0.114875913,0.120724104,0.123418726,0.060637787,0.0234236401,-0.0388884619,-0.0476140566,-0.0987850577,-0.125383034,-0.0794312507,-0.0831645504,-0.0685764104,-0.125014007,-0.0836383551,-0.027481908,0.0837346762,0.226549387,0.325741172,0.34088099,0.387624502,0.430230647,0.439169377,0.464885086,0.452741832,0.477705002,0.407651186,0.309944361,0.231944323,0.0931071863,0.0203021169,0.0260041151,0.0676710382,0.0511384606,0.0556285158,0.0257850904,-0.00981539022,-0.0425612926,-0.0574985109,-0.0341935493,-0.0617021024,0.0152217289,0.0417926498,0.0389617644,0.0494177267,0.0652496889,0.0537955277,0.0318496451,-0.0283742715,-0.127806932,-0.239417583,-0.339500636,-0.347701877,-0.333238274,-0.291392535,-0.225660995,-0.183766976,-0.138898954,-0.149116665,-0.0823452324,-0.0937474072,-0.0612605885,-0.0359066874,-0.0707154498,-0.100379273,-0.180518955,-0.21814537,-0.299212724,-0.337971985,-0.384277463,-0.512764931,-0.65198648,-0.794793427,-0.835257173,-0.876809478,-0.93806076,-0.89463973,-0.821133375,-0.65502584,-0.640967727,-0.629923999,-0.76839608,-0.79689765,-0.93646884,-0.968849719,-0.989899635,-0.822789013,-0.551915467,-0.426549852,-0.267865062,-0.214078084,-0.160623327,-0.211529806,-0.28400448,-0.409347564,-0.549384117,-0.614926696,-0.673912585,-0.669302464,-0.745343328,-0.797100425,-0.835486233,-0.854929447,-0.794414461,-0.719682395,-0.604581952,-0.615799248,-0.575810313,-0.520584106,-0.462007195,-0.432113886,-0.370954454,-0.354022622,-0.379895985,-0.440870285,-0.540629327,-0.676971674,-0.786726832,-0.92344451,-0.98299253,-0.959088445,-0.779937208,-0.574099422,-0.420618445,-0.290637255,-0.0443554707,0.0945897028,0.17008464,0.103811942,-0.0179915875,-0.0631990954,-0.120169707,-0.0716057271,0
-0.0387535617,-0.0848396271,-0.0783545226,-0.141731828,-0.130375907,-0.254117936,-0.349901974,-0.4953942,-0.638399422,-0.771842301,-0.811190248,-0.831101239,-0.789433658,-0.708701491,-0.578924298,-0.384251475,-0.183382839,-0.00157534343,0.242876664,0.41547659,0.585637152,0.68661654,0.632427096,0.523364186,0.0310771018,-0.459783286,-0.952806413,-1.275033,-1.50313735,-1.54034209,-1.5545603,-1.52861178,-1.49876535,-1.59768176,-1.61705267,-1.60010123,-1.36195397,-1.06285214,-0.53513813,0.0292917229,0.806239784,1.37159109,1.7188344,1.66794884,1.46067405,1.11796343,0.768959165,0.569743514,0.466007411,0.3192752,0.244275555,0.15228276,0.0990935415,0.0945958421,0.0914502069,0.109664254,0.0720707625,0.0560971312,0.0404280759,0.000170219908,-0.104587011,-0.265103132,-0.477927983,-0.833104134,-1.30501378,-1.65278852,-1.93529999,-1.87859011,-1.72008395,-1.58840764,-1.51439536,-1.42395449,-1.38170803,-1.23424983,-0.910948753,-0.376254678,-0.00421794876,0.279404402,0.367134154,0.592662275,0.784382343,0.919718504,1.02986395,1.13202417,1.21645665,1.1947124,1.10092604,0.89135772,0.776459038,0.666000009,0.610804915,0.568850577,0.499031931,0.448449224,0.397531569,0.323951989,0.224381894,0.144368708,0.0408189669,-0.051157143,-0.109678552,-0.189605728,-0.197959423,-0.203234628,-0.208521396,-0.478970587,-0.848087549,-1.21256244,-1.44605136,-1.44584441,-1.44409597,-1.49512804,-1.48875618,-1.32278562,-1.0315572,-0.72549516,-0.365386635,-0.00697880425,0.229469225,0.27317673,0.238169894,0.211996317,0.273495793,0.409823358,0.479259163,0.534588277,0.650238991,0.898022532,1.13196993,1.31792223,1.36993575,1.37660718,1.2834816,1.061077,0.809691548,0.471913666,0.264132679,0.0572643168,-0.0935513154,-0.148324534,-0.300366402,-0.465800673,-0.817269385,-1.18739784,-1.40498173,-1.53603923,-1.48320293,-1.31968486,-1.12349784,-0.909981549,-0.7538715,-0.561274111,-0.362719029,-0.13556686,0.0554075986,0.298131764,0.548259616,0.726226032,0.847833276,0.989047587,1.06341875,1.00609577,0.86177659,0.531645477,0.256897151,-0.048847843,-0.289102942,-0.562095106,-0.741372645,-0.800801396,-0.754557967,-0.581751168,-0.346062809,-0.0875100642,0.0611603819,0.065717645,0.0333115794,0.00725288177,1
-0.262148052,-0.175168633,-0.0600086264,-0.0983261019,-0.142798424,-0.266514987,-0.356095135,-0.365859807,-0.29896313,-0.19840619,-0.0571599901,0.142958269,0.385817349,0.550175965,0.669303238,0.72271359,0.715513766,0.559935868,0.273632377,-0.175875202,-0.618121564,-0.850815117,-0.844863236,-0.747650504,-0.618529201,-0.404491961,-0.148643374,0.150939375,0.431663543,0.675237238,0.805011988,0.802974641,0.665559351,0.35866195,-0.0562411286,-0.465728164,-0.705036581,-0.86433816,-0.913937449,-0.852097511,-0.732242644,-0.526596248,-0.21143581,0.156988904,0.393581003,0.605278373,0.722238958,0.762180448,0.702275455,0.529794037,0.262679875,-0.0943897814,-0.341029257,-0.443244785,-0.40244773,-0.335625142,-0.219771624,-0.0935111195,-0.0392292216,0.0540471636,0.209764555,0.324312478,0.319243789,0.25097698,0.0376898609,-0.190082803,-0.378867298,-0.420644641,-0.391722083,-0.331844151,-0.206511855,-0.0623002611,0.109136708,0.318554968,0.533156395,0.660893857,0.660667419,0.624227345,0.50082463,0.284923851,0.0494912528,-0.0741227642,-0.108098388,-0.0759885013,0.0537918955,0.132073268,0.13176626,0.121248379,0.161877975,0.215894938,0.29205355,0.397165567,0.405595481,0.310421377,0.125591636,-0.0213390384,-0.173303679,-0.187630713,-0.0779293701,0.0132962512,0.0584959984,0.0789763182,0.12687321,0.169577971,0.290174872,0.393800676,0.451091826,0.451826245,0.315343738,0.107071295,-0.180518955,-0.411810994,-0.540838718,-0.565710127,-0.596004486,-0.543154955,-0.352925777,-0.158239216,0.0719653144,0.190122172,0.225172877,0.263170242,0.414936662,0.661079943,0.772794545,0.705302119,0.447576821,0.14267768,-0.0854895264,-0.147633299,-0.118477948,-0.0854555964,-0.00254491018,0.135168195,0.29830876,0.471913666,0.730766058,0.905459106,0.930134416,0.753391445,0.488189667,0.208248898,-0.0646461323,-0.252444208,-0.424438179,-0.540855527,-0.493635774,-0.305673093,-0.0285477862,0.273441255,0.655421436,0.947255313,1.11674356,1.08565962,0.911818326,0.543542206,0.0676247925,-0.365959078,-0.680925786,-0.815930724,-0.80406791,-0.712655067,-0.552939057,-0.330630094,-0.0351922363,0.232608125,0.512992084,0.842413247,1.13473666,1.19126821,0.98483634,0.604811788,0.199748293,-0.105446495,-0.316333622,-0.351727039,-0.433271527,-0.435568511,0
0.0759625286,-0.0487080216,-0.0538933277,-0.154133469,-0.186277226,-0.154941544,-0.31893605,-0.335018277,-0.403879791,-0.460192233,-0.443522602,-0.409215599,-0.304794043,-0.371818811,-0.344515383,-0.449367076,-0.389886111,-0.353291154,-0.323028773,-0.249794185,-0.292615384,-0.0576955974,0.0415109396,0.0474866591,0.0978590548,0.154564574,0.170566365,0.266230762,0.232137203,0.182209954,0.198264822,0.203248993,0.286496848,0.315597773,0.466102183,0.681110501,0.823677838,0.681664467,0.643348753,0.588517964,0.570504546,0.498424947,0.360025764,0.256887078,0.161869392,0.140284941,0.255036622,0.37730664,0.371500194,0.427542001,0.391510159,0.491457492,0.471975356,0.39675349,0.20588997,0.127963811,0.084489584,0.0124613913,-0.143396452,-0.22731021,-0.383351594,-0.577854276,-0.743651927,-0.789491653,-0.698631465,-0.589561224,-0.440630496,-0.426875174,-0.342063695,-0.264418811,-0.212566882,-0.0743502975,0.0300306659,0.182452545,0.328626484,0.325345814,0.328224748,0.394345403,0.50082463,0.64696908,0.772529244,0.832026601,0.916663468,0.990267634,1.02163172,1.03844202,0.923042297,0.952477515,0.850208759,0.72149241,0.641454101,0.599508643,0.586239278,0.511189163,0.564403772,0.56626147,0.562711418,0.470439583,0.373314291,0.317985028,0.296260029,0.341719627,0.221369982,0.0673551559,-0.136420727,-0.232186988,-0.274740756,-0.127356619,-0.028490223,0.124852777,0.228808805,0.374955565,0.586749315,0.720702708,0.777196527,0.763616443,0.675095379,0.459407449,0.298770934,0.132622853,-0.00227504433,-0.0246830732,-0.00323629496,-0.0328667499,-0.167716801,-0.19704248,-0.289376438,-0.268770337,-0.284258425,-0.387681186,-0.35382539,-0.450971305,-0.433301359,-0.34013167,-0.273952961,-0.214078084,-0.142675877,-0.205556601,-0.28400448,-0.379685879,-0.55531311,-0.710367322,-0.733644605,-0.633571804,-0.424438179,-0.32632491,-0.259738058,-0.263422608,-0.267881125,-0.285562485,-0.288088232,-0.343173444,-0.332277387,-0.304011911,-0.301430196,-0.252545297,-0.244787827,-0.180944115,-0.196917102,-0.218178153,-0.2245031,-0.254718006,-0.277189404,-0.270749837,-0.178256437,-0.156639487,-0.0915720835,-0.111932166,-0.124072134,-0.223830029,-0.279083431,-0.231715113,-0.245206401,-0.272853255,-0.194561362,-0.0631990954,0.0517293327,0.158904046,0
0.142377108,0.119906127,0.123450324,0.0876984373,0.0683843195,0.0434112288,0.0712345392,0.109099597,0.170076087,0.237903908,0.254422754,0.229817078,0.198019519,0.148280814,0.0950013474,0.0656380579,0.0899303332,0.146515518,0.156760618,0.187559754,0.1925731,0.204643935,0.228433385,0.24627094,0.279991657,0.27743414,0.299477994,0.308706522,0.310738474,0.279598057,0.24116613,0.209368646,0.176446423,0.211013362,0.242240772,0.294675767,0.320245802,0.344792336,0.336701632,0.27851212,0.24791953,0.20104225,0.194936857,0.225668892,0.302115887,0.378743112,0.447757572,0.51726073,0.548701227,0.553853273,0.532609999,0.522291601,0.484200984,0.475314498,0.464885235,0.457355976,0.46326375,0.448818773,0.450969517,0.40724045,0.375837088,0.348370254,0.300704896,0.25097698,0.204754367,0.184812352,0.146119922,0.121412024,0.104861781,0.0788375661,0.0599088594,0.0341000333,0.0422008261,0.0401636586,0.0249305516,0.00199949509,0.00787087623,-0.00492326124,0.00860057864,0.0073558148,-0.0157006942,-0.00396926468,0.017017886,0.0534414314,0.0726459175,0.132073268,0.193105489,0.212928057,0.247919321,0.283718973,0.304313213,0.256138593,0.224951655,0.153571531,0.107050285,0.0755847543,0.0285069067,-0.0334881209,-0.101679035,-0.127329335,-0.161870643,-0.195444465,-0.227489665,-0.221273944,-0.214529783,-0.202091426,-0.1710504,-0.127356619,-0.0948441476,-0.0411076844,0.0211787783,0.0663010031,0.103497282,0.135969579,0.111768723,0.0768016949,0.0582827069,0.0434413292,0.0404645354,0.0431794822,0.0627100766,0.0840615109,0.101306945,0.134637624,0.185723767,0.211451367,0.257197231,0.320767134,0.374163538,0.401950032,0.396742165,0.374590039,0.29711175,0.21541363,0.152199373,0.104847901,0.0487634465,0.0453179106,0.0671435371,0.0771044493,0.0790891573,0.0650879294,0.0368982777,0.027446365,0.021263456,0.0193077549,0.00414653448,0.0262950249,0.0372688845,0.0712484121,0.0940928906,0.117261231,0.130435184,0.147180155,0.186248124,0.220318705,0.247862846,0.212958708,0.222163573,0.238926739,0.273103058,0.316216528,0.35823375,0.387932867,0.38207832,0.394295603,0.369333267,0.36223945,0.341929227,0.359214723,0.334820449,0.308171034,0.288739234,0.271218687,0.268173218,0.23760663,0.235906869,0.213498458,0
-0.382901847,-0.476265341,-0.57980901,-0.519981742,-0.391248703,-0.266514987,-0.151720077,-0.199315593,-0.280448407,-0.279435217,-0.156866461,-0.0245551467,0.113207594,0.106909253,0.0950013474,0.0478792638,0.114224836,0.17119734,0.101400301,-0.0957963169,-0.30489862,-0.435952604,-0.380572021,-0.199487761,-0.0114205061,0.136134148,0.201259613,0.254094809,0.238183454,0.0300410539,-0.169460729,-0.402596295,-0.477742136,-0.367276937,-0.124643229,0.107691184,0.228154555,0.260574281,0.204422504,0.0536059067,-0.0126299048,-0.0457221083,0.0234983899,0.119527087,0.326506585,0.456241995,0.436077505,0.225689679,-0.0124354046,-0.234088555,-0.430549741,-0.544567168,-0.536639392,-0.406985879,-0.167545065,0.0913646892,0.252143711,0.367780983,0.371312231,0.245609626,0.0377608687,-0.150828689,-0.29871884,-0.428131312,-0.389252752,-0.263832659,-0.082403928,-0.0156597756,0.030374201,0.115615033,0.187064201,0.317275912,0.370795161,0.392792642,0.384407371,0.35585019,0.37658006,0.333850145,0.257751018,0.188378438,0.162095532,0.142183855,0.219587088,0.367771268,0.456011057,0.444614202,0.30351609,0.1151364,-0.0102047175,0.0247544367,0.0836391896,0.256138593,0.430511862,0.517463148,0.558223367,0.463279933,0.402450055,0.268868506,0.0823808834,-0.0745947435,-0.121276796,-0.090347141,0.0441885367,0.223695919,0.308200032,0.291475773,0.219313353,0.268926412,0.363601148,0.551608264,0.833902001,0.980160594,1.03282809,0.966906071,0.886084676,0.769694448,0.64394325,0.459407449,0.248369694,0.0304018576,-0.00877355598,0.0648712888,0.181251779,0.2124075,0.263600498,0.266323686,0.294044882,0.357613206,0.386586607,0.300877213,0.193198413,0.109906241,0.0848549455,0.0672682151,0.109584145,0.22519733,0.353869885,0.469415307,0.4420982,0.403383255,0.304390877,0.250004172,0.0846838802,-0.157162309,-0.347183228,-0.356120825,-0.307717085,-0.299637318,-0.208047792,-0.0774227977,0.0582634062,0.177844748,0.252201647,0.291561604,0.352772415,0.489671618,0.560275495,0.493465245,0.416947544,0.391295046,0.407749414,0.399477839,0.35823375,0.238232255,0.0542228855,-0.120708942,-0.247202471,-0.35802123,-0.438774347,-0.333150923,-0.255008757,-0.18425259,-0.156215474,-0.189149871,-0.182384133,-0.13686581,-0.0464986898,0.067913346,0
