f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,target
-0.288906544,-0.920560837,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.330759168,-0.291545898,-0.249511123,-0.139168367,-0.302838296,-0.639626682,-0.221190572,-0.170185789,-0.0128179565,-0.280103743,-0.263082474,-0.293382049,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.288906544,1.90008402,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.442853183,-0.405157059,-0.355123043,-0.294830143,-0.244676724,-0.191774353,-0.200481772,-0.153432682,-0.166396141,-0.210015208,-0.153709888,-0.143808186,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.211832568,0.272788912,2.160496,2.09546876,2.14518738,2.28778529,2.47802806,2.47884989,0.807373762,1.15391243,1.163517,1.43456388,1.57160628,1.60890388,1.01650763,-0.256989509,0.271165371,-0.142096981,-0.163593352,0.00475314306,1,0,0,0,1,0,0,0,0,1,0,0,1
0.790128946,-0.2696428,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.539614677,-0.566300571,-0.62649262,-0.648310184,-0.532260776,-0.47147426,0.193830743,-0.102175079,-0.208425671,0.199536785,-0.0523226187,-0.180878207,0,0,0,1,0,0,0,0,0,1,0,0,0
0.404759139,1.90008402,2.160496,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,2.29736543,2.451828,2.54050946,2.67017388,2.80564833,2.88158298,0.170646548,0.0945655629,0.157572031,0.190089524,0.226116031,0.0801307261,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.905498266,0.923706949,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.0660060421,-0.0256148521,0.027280366,0.101521373,-0.517983556,-0.501598597,-0.235559955,-0.156687811,-0.17184861,-0.296827972,-0.302354515,0.256143004,0,0,0,0,1,0,0,0,0,1,0,0,0
1.09842479,0.598247945,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,4.32099199,4.11668253,3.62695408,1.94501138,1.83307028,0.57446599,0.276907474,0.145692959,0.100775369,0.138767853,0.0131307561,10.2819796,1,0,0,1,0,0,0,0,0,0,1,0,0
1.48379469,-0.486615479,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.304046214,-0.485904455,-0.523562789,-0.619646251,-0.557624221,-0.560722291,0.539299488,0.207627416,-0.103692621,0.101106435,0.044482924,-0.0616241284,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.134758607,-0.161156461,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,-0.492381483,-0.44222191,-0.398267627,-0.37783733,-0.322839588,-0.279326439,-0.16081506,-0.170185789,-0.183207944,-0.180396736,-0.183229372,-0.237130135,0,0,0,0,0,0,1,0,0,1,0,0,0
0.019389322,-1.02904713,-0.469070911,-0.399186403,-0.38461417,-0.339990377,-0.308621436,-0.316687822,1.64731812,1.62679112,1.76821876,1.69962716,1.22661734,1.12274969,0.141062543,0.133627236,0.0326193757,-0.0843281895,-0.0850493088,-0.107750706,0,0,1,0,0,0,0,0,0,0,1,0,0
