Level Badge
Level 1: Minimal Reproduction
Reason: Is able to reproduce trends

Method
DICE reproduction

Reproduction Results
             setting  k  model_accuracy  validity  categorical_proximity  continuous_distance  continuous_proximity  categorical_diversity  continuous_diversity  count_diversity  continuous_sparsity  factual_class_index  desired_class_index                                                                       
           DiverseCF  1        0.653409     1.000               0.790000             2.110065             -2.110065               0.000000              0.000000         0.000000                 0.00                  1.0                  0.0
           DiverseCF  2        0.653409     0.970               0.712500             1.872637             -1.872637               0.405000              1.222208         0.512000                 0.04                  1.0                  0.0
           DiverseCF  4        0.653409     0.965               0.583333             2.157109             -2.157109               0.570833              0.945441         0.590667                 0.06                  1.0                  0.0
       NoDiversityCF  1        0.653409     1.000               0.790000             2.110065             -2.110065               0.000000              0.000000         0.000000                 0.00                  1.0                  0.0
       NoDiversityCF  2        0.653409     0.850               0.792500             2.043579             -2.043579               0.185000              0.710668         0.288000                 0.05                  1.0                  0.0
       NoDiversityCF  4        0.653409     0.725               0.750000             2.044447             -2.044447               0.208333              0.632405         0.330667                 0.06                  1.0                  0.0
        RandomInitCF  1        0.653409     1.000               0.790000             2.110065             -2.110065               0.000000              0.000000         0.000000                 0.00                  1.0                  0.0
        RandomInitCF  2        0.653409     0.840               0.765000             2.161475             -2.161475               0.130000              0.167403         0.240000                 0.00                  1.0                  0.0
        RandomInitCF  4        0.653409     0.820               0.736667             2.081292             -2.081292               0.195000              0.587603         0.336000                 0.00                  1.0                  0.0
    DiverseCF-Sparse  1        0.653409     1.000               0.790000             2.094630             -2.094630               0.000000              0.000000         0.000000                 0.10                  1.0                  0.0
    DiverseCF-Sparse  2        0.653409     0.970               0.712500             1.796950             -1.796950               0.405000              1.204978         0.492000                 0.33                  1.0                  0.0
    DiverseCF-Sparse  4        0.653409     0.965               0.583333             2.144547             -2.144547               0.570833              0.939539         0.590667                 0.11                  1.0                  0.0
NoDiversityCF-Sparse  1        0.653409     1.000               0.790000             2.094630             -2.094630               0.000000              0.000000         0.000000                 0.10                  1.0                  0.0
NoDiversityCF-Sparse  2        0.653409     0.840               0.792500             2.025980             -2.025980               0.185000              0.739663         0.284000                 0.13                  1.0                  0.0
NoDiversityCF-Sparse  4        0.653409     0.685               0.755417             2.040228             -2.040228               0.217500              0.671738         0.338000                 0.16                  1.0                  0.0
 RandomInitCF-Sparse  1        0.653409     1.000               0.790000             2.094630             -2.094630               0.000000              0.000000         0.000000                 0.10                  1.0                  0.0
 RandomInitCF-Sparse  2        0.653409     0.810               0.765000             2.146065             -2.146065               0.130000              0.164386         0.228000                 0.08                  1.0                  0.0
 RandomInitCF-Sparse  4        0.653409     0.765               0.738333             2.067164             -2.067164               0.198333              0.623615         0.330667                 0.10                  1.0                  0.0
