age,NumberOfDependents,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,SeriousDlqin2yrs
45,2.0,0.7661266090000001,2,0.8029821290000001,9120.0,13,0,6,0,1
40,1.0,0.957151019,0,0.1218762009999999,2600.0,4,0,0,0,0
38,0.0,0.65818014,1,0.085113375,3042.0,2,1,0,0,0
30,0.0,0.233809776,0,0.036049682,3300.0,5,0,0,0,0
49,0.0,0.9072394,1,0.024925695,63588.0,7,0,1,0,0
74,1.0,0.2131786819999999,0,0.375606969,3500.0,3,0,1,0,0
39,0.0,0.754463648,0,0.2099400169999999,3500.0,8,0,0,0,0
57,2.0,0.189169052,0,0.606290901,23684.0,9,0,4,0,0
30,0.0,0.644225962,0,0.30947621,2500.0,5,0,0,0,0
51,2.0,0.01879812,0,0.53152876,6501.0,7,0,2,0,0
46,2.0,0.0103518569999999,0,0.298354075,12454.0,13,0,2,0,0
40,2.0,0.964672555,3,0.382964747,13700.0,9,3,1,1,1
76,0.0,0.019656581,0,477.0,0.0001,6,0,1,0,0
64,2.0,0.548458062,0,0.2098917539999999,11362.0,7,0,1,0,0
53,0.0,0.166284079,0,0.18827406,8800.0,7,0,0,0,0
43,2.0,0.221812771,0,0.527887839,3280.0,7,0,1,0,0
25,0.0,0.602794411,0,0.065868263,333.0,2,0,0,0,0
43,0.0,0.2009233819999999,0,0.430046338,12300.0,10,0,2,0,0
38,2.0,0.025655677,0,0.475841386,3000.0,7,0,1,0,1
39,0.0,0.9999999,0,0.241103559,2500.0,4,0,0,0,0
32,0.0,0.075426584,0,0.085512189,7916.0,6,0,0,0,0
58,0.0,0.04656027,0,0.241621845,2416.0,9,0,1,0,0
50,1.0,0.392248482,0,1.595253368,4676.0,14,0,3,0,1
58,0.0,0.052436094,0,0.097672186,8333.0,22,0,1,0,0
69,1.0,0.034421473,0,0.042383047,2500.0,17,0,0,0,0
24,0.0,0.4525158279999999,0,0.0117612469999999,3400.0,1,0,0,0,0
58,0.0,0.392994586,2,0.436102527,5500.0,15,0,1,0,0
28,0.0,0.704073982,1,0.155201143,4200.0,8,0,0,0,0
24,0.0,0.9999999,0,0.472703063,750.0,1,0,0,0,0
57,0.0,0.186868556,0,0.313812313,7000.0,9,0,2,0,0
42,0.0,0.6933296809999999,2,0.257731959,2230.0,7,0,0,0,0
64,0.0,0.0001,0,0.073538769,11000.0,9,0,1,0,0
50,1.0,0.881836362,3,0.567858035,4000.0,9,0,1,0,0
75,1.0,0.9999999,1,0.134078212,3400.0,1,0,1,0,0
26,0.0,0.363636364,0,0.00999001,1000.0,1,0,0,0,0
52,0.0,0.304490668,0,0.8083404740000001,3500.0,10,0,2,0,0
41,0.0,0.71998531,1,0.539554464,5700.0,14,0,1,0,0
31,1.0,0.469056842,0,0.048211004,9250.0,4,0,0,0,0
28,1.0,0.718705378,0,0.1701256139999999,3661.0,4,0,0,0,0
68,0.0,0.368875933,0,1687.5,1.0,31,0,1,0,0
70,2.0,0.000602723,0,0.177787036,16800.0,12,0,1,0,0
62,0.0,0.061440132,0,0.011167837,3133.0,2,0,0,0,0
31,0.0,0.140110634,0,0.689370485,1937.0,4,0,2,0,0
38,2.0,0.834048027,0,0.393662026,13000.0,13,0,2,0,0
70,0.0,0.0001,0,0.256339661,6900.0,21,1,1,0,0
73,0.0,0.818977517,0,3095.0,0.0001,9,0,1,1,0
31,1.0,0.728150491,0,0.824725092,3000.0,10,0,2,0,1
51,0.0,0.028562367,0,0.306381499,5750.0,5,0,1,0,0
29,0.0,0.992015968,0,0.0080645159999999,2231.0,1,0,0,0,0
55,0.0,0.070853769,0,0.073147745,13793.0,4,0,1,0,0
46,1.0,0.454971915,1,0.016921775,13000.0,10,0,0,0,0
64,0.0,0.401199782,0,0.351258937,3216.0,4,0,1,0,0
